Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;30;1100;2;1562;0,003;1557;0,055;1542;0,115;1529;0,219;0;1207299;3671,79;0;846485;3611,51;0;1219554;3631,16;1412;2138;10,982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;30;1200;2;1487;0,003;1482;0,06;1477;0,133;1465;0,262;0;1759894;4088,15;0;1687911;3630,61;0;1850181;4065,63;1350;5148;38,674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;50;634;6;2897;0,003;2885;0,056;2860;0,12;2837;0,225;0;1320005;3694,15;0;1320005;3672,38;0;1320005;3660,03;2598;1284;4,923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;50;850;4;3110;0,003;3094;0,068;3076;0,121;3058;0,224;0;1450961;3738,81;0;1450961;3626,02;0;1450961;3660,26;2808;1116;5,182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;50;1125;4;2153;0,003;2151;0,078;2150;0,172;2147;0,343;0;1626287;3715,09;0;1484155;3660,78;0;1484155;3639,51;2060;869;7,894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;70;383;8;2482;0,003;2475;0,027;2460;0,057;2459;0,098;0;1550660;3638,91;0;1637832;3642,65;0;1637832;3782,43;2353;53759;1604,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;70;683;8;2583;0,003;2564;0,117;2552;0,192;2543;0,36;0;1817157;3624,48;0;2510242;4460,81;0;2510242;4507,72;2500;696;4,255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;70;984;6;3246;0,003;3243;0,11;3229;0,252;3213;0,495;0;1468315;3853,5;0;1468854;3727,84;0;1468854;4227,1;3053;1258;11,845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;100;651;8;4750;0,003;4750;0,071;4749;0,144;4740;0,28;0;1764386;4155,38;0;1764386;4127,95;0;1861070;3726,37;4390;1070;8,651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;100;800;10;3654;0,003;3642;0,13;3632;0,307;3621;0,597;0;1122956;3845,23;0;1166419;3758,72;0;1166419;3723,97;3496;1207;17,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;100;800;10;5115;0,015;5111;0,124;5086;0,287;5070;0,542;0;1126416;3927,9;0;814526;3809,53;0;814526;3706,88;4742;1405;11,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;num;;Obj He;;Gap He;;Cpu He;;Obj NS 20;;Gap NS 20;;Cpu NS 20;;Obj NS 50;;Gap NS 50;;Cpu NS 50;;Obj NS 100;;Gap NS 100;;Cpu NS 100;;num;;Obj St(0);;Gap St(0);;# etats St(0);;CPU St(0);;Obj St(3);;# etats St(3);;CPU St(3);;# etats St(2);;CPU St(2);;# etats St(1);;CPU St(1);
